name,price,score,body,tannin,sweetness,acidity
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2015,3,4.3,5,3,1,3
Alicante Bouschet - Cabernet Sauvignon 2013,3,4.3,4,3,1,3
Cabernet Sauvignon 2009,4,4.3,5,3,1,3
Cabernet Sauvignon 2014,4,4.3,5,3,1,3
Capo di Stato 2013,4,4.3,4,3,1,2
Cabernet Sauvignon 2011,4,4.3,5,3,1,3
Brunello di Montalcino 2010,3,4.3,3,3,1,4
Brunello di Montalcino 2011,3,4.3,3,3,1,4
Russian River Valley Pinot Noir 2016,3,4.3,3,1,1,3
Gigglepot Cabernet Sauvignon 2016,3,4.3,4,3,1,3
Cabernet Sauvignon 2015,4,4.3,5,3,1,3
Cabernet Sauvignon 2017,4,4.3,5,3,1,3
Mendoza 2005,4,4.3,5,3,1,4
O.P.C Proprietary Red 2012,4,4.3,5,3,1,4
Cabernet Sauvignon 2014,4,4.3,5,3,1,3
Cabernet Sauvignon 2007,4,4.3,5,3,1,3
Montepulciano d'Abruzzo 2006,4,4.3,3,3,1,4
Bosché Vineyard Cabernet Sauvignon 2012,4,4.3,5,3,1,3
Cabernet Sauvignon 2005,4,4.3,5,3,1,3
Payen 2011,3,4.3,5,3,1,2
Brunello di Montalcino 2001,2,4.3,3,3,1,4
Corte di Cama Sforzato di Valtellina 2014,3,4.3,4,4,1,5
Castillo Ygay Gran Reserva Especial Tinto 1995,3,4.3,4,4,1,4
Bosché Vineyard Cabernet Sauvignon 2010,4,4.3,5,3,1,3
Cielo d'Ulisse Brunello di Montalcino 2015,4,4.3,3,3,1,4
Manyetes 2014,4,4.3,5,3,1,3
Evenstad Reserve Pinot Noir 2006,3,4.3,2,2,1,4
Rioja Gran Reserva 2013,4,4.3,4,3,1,4
Elevage 2006,4,4.3,5,3,1,4
Elevage 2010,4,4.3,5,3,1,4
Reserve Cabernet Sauvignon 2012,4,4.3,5,3,1,3
Chateau de Chassagne-Montrachet Rouge 2015,3,4.3,2,2,1,4
Land's Edge Vineyard Pinot Noir 2015,4,4.3,3,1,1,3
Primus Malbec (Primum) 2003,1,4.3,4,2,2,2
Ironclad 2013,2,4.3,4,3,1,4
Elevage 2011,4,4.3,5,3,1,4
Elevage 2015,4,4.3,5,3,1,4
Manyetes 2003,4,4.3,5,3,1,3
Château Corton Grancey Grand Cru 2014,4,4.3,2,2,1,4
Reserve Cabernet Sauvignon 2017,4,4.3,5,3,1,3
Saint-Émilion Grand Cru 2015,4,4.3,4,3,1,3
Cabernet Sauvignon 2001,4,4.3,5,3,1,3
Baron Edmond 2002,2,4.3,4,3,1,4
Rioja Gran Reserva 2005,4,4.3,4,3,1,4
Pinot Noir 2012,4,4.3,4,3,1,4
Eileen Hardy Shiraz 2008,4,4.3,5,3,1,3
Eileen Hardy Shiraz 2005,4,4.3,5,3,1,3
Larose Red Blend 2015,4,4.3,4,3,1,4
Larose Red Blend 2012,4,4.3,4,3,1,4
Old Vine Shiraz 2004,2,4.3,5,3,2,3
Alte Reben Spätburgunder 2003,2,4.3,1,2,1,4
Homage Syrah 2015,3,4.3,4,3,1,3
Ironheart Shiraz 2013,4,4.3,5,3,2,3
Château Prieuré La Marzelle Saint-Émilion Grand Cru 2006,2,4.3,4,3,1,3
Cabernet Sauvignon (Batch No. 1 & 3) 2013,2,4.3,4,3,1,3
Larose Red Blend 2018,4,4.3,4,3,1,4
Merlot Unfiltered 2002,3,4.3,4,2,2,1
Graveyard Vineyard Shiraz 2004,3,4.3,5,3,1,3
Cabernet Sauvignon 2013,4,4.3,5,3,1,3
Spring Mountain Cabernet Sauvignon 2015,4,4.3,5,3,1,3
Cabernet Sauvignon 2000,4,4.3,5,3,1,3
Pinot Noir 2020,1,4.3,2,2,1,3
Vieilles Vignes Châteauneuf-du-Pape 2005,2,4.3,5,3,1,3
Liguai 2005,2,4.3,4,3,1,3
Mas Vilella 2003,2,4.3,4,3,1,3
Unánime Malbec 2011,3,4.3,4,2,1,2
Director's Cut Shiraz 2005,2,4.3,5,3,2,3
Elevage 2017,4,4.3,5,3,1,4
Bin No 0 Shiraz 2008,3,4.3,5,3,1,3
Bosché Vineyard Cabernet Sauvignon 2008,4,4.3,5,3,1,3
Alexis Cabernet Sauvignon 2003,4,4.3,5,3,1,3
Viña Lanciano Reserva 1998,2,4.3,4,4,1,4
Villa Antinori Chianti Classico Riserva 2001,2,4.3,3,3,1,4
Larose Red Blend 2020,4,4.3,4,3,1,4
Cielo d'Ulisse Brunello di Montalcino 2011,4,4.3,3,3,1,4
Quelen Special Selection 2005,2,4.3,5,3,1,3
1 Uno Primitivo di Manduria 2018,2,4.2,4,2,3,1
Cabernet Sauvignon 2016,2,4.2,5,3,1,3
